polygon_legacyid,x,y,annotation,ranknr,active_in_db_from,active_in_db_till
ANTGEE0069,191516.9217,198850.6652,AN_ZAM_002,912,2018-12-14,9999-12-31
ANTGEE0105,190000.1755,209732.6832,AN_ZEG_001,972,2018-12-14,2018-12-14
ANTGEE0105,190000.1755,209732.6832,AN_ZEG_001,972,2018-12-14,9999-12-31
ANTGEE0107,189425.1257,210062.8178,AN_ZEG_002,973,2018-12-14,2018-12-14
ANTGEE0107,189425.1257,210062.8178,AN_ZEG_002,973,2018-12-14,9999-12-31
ANTGEE0126,189865.8992,209502.5394,AN_ZEG_004,971,2018-12-14,2018-12-14
ANTGEE0126,189865.8992,209502.5394,AN_ZEG_004,971,2018-12-14,9999-12-31
ANTGEE0193,189545.3393,210103.9473,AN_ZEG_003,974,2018-12-14,2018-12-14
ANTGEE0193,189545.3393,210103.9473,AN_ZEG_003,974,2018-12-14,9999-12-31
ANTGEE0305,197976.5461,207155.115,AN_SEL_002,1186,2018-12-14,2018-12-14
ANTGEE0305,197976.5461,207155.115,AN_SEL_002,1186,2018-12-14,9999-12-31
ANTGEE0477,193896.4832,203345.6635,AN_WIL_001,1104,2024-03-22,9999-12-31
ANTGEE0854,189736.4898,208326.0314,AN_NEE_001,931,2018-12-14,2018-12-14
ANTGEE0854,189736.4898,208326.0314,AN_NEE_001,931,2018-12-14,9999-12-31
