rank	ecoregion	soilclass	x	y	date	nh4	no3	po4	po4f	period_min	period_max	source	year	sixyear	type	target
33385	5	2	183472	213552	13700	0.236	2.12	0.19	NA	2007-01-01	2007-12-31	H3260_v1_2	2007	3	3260	1
33385	5	2	183472	213552	13733	0.248	3.34	0	NA	2007-01-01	2007-12-31	H3260_v1_2	2007	3	3260	1
33385	5	2	183472	213552	13767	0	3.28	0	NA	2007-01-01	2007-12-31	H3260_v1_2	2007	3	3260	1
33385	5	2	183472	213552	13791	0	2.23	0	NA	2007-01-01	2007-12-31	H3260_v1_2	2007	3	3260	1
33385	5	2	183472	213552	13826	2.52	2.41	0	NA	2007-01-01	2007-12-31	H3260_v1_2	2007	3	3260	1
33385	5	2	183472	213552	13850	0.439	2.04	0	NA	2007-01-01	2007-12-31	H3260_v1_2	2007	3	3260	1
33385	5	2	183472	213552	13899	0.736	2.17	0.096	NA	2008-01-01	2009-12-31	H3260_v1_3	2008	3	3260	1
33385	5	2	183472	213552	13927	1.54	2.78	0.071	NA	2008-01-01	2009-12-31	H3260_v1_3	2008	3	3260	1
33385	5	2	183472	213552	13955	0.544	1.64	0.17	NA	2008-01-01	2009-12-31	H3260_v1_3	2008	3	3260	1
33385	5	2	183472	213552	13983	0.801	2.41	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2008	3	3260	1
33385	5	2	183472	213552	14018	0.5	1.66	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2008	3	3260	1
33385	5	2	183472	213552	14039	0.312	1.12	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2008	3	3260	1
33385	5	2	183472	213552	14074	0	1.84	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2008	3	3260	1
33385	5	2	183472	213552	14104	0.115	3.29	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2008	3	3260	1
33385	5	2	183472	213552	14133	0	1.66	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2008	3	3260	1
33385	5	2	183472	213552	14160	0.138	1.36	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2008	3	3260	1
33385	5	2	183472	213552	14189	0.285	1.8	0	NA	2008-01-01	2009-12-31	H3260_v1_3	2008	3	3260	1
33385	5	2	183472	213552	14217	0.552	1.05	0.113	NA	2008-01-01	2009-12-31	H3260_v1_3	2008	3	3260	1
33385	5	2	183472	213552	14264	1.18	1.53	0.125	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
33385	5	2	183472	213552	14287	1.35	1.74	0.116	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
33385	5	2	183472	213552	14315	0.949	0.956	0.058	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
33385	5	2	183472	213552	14349	0.147	3.7	0.045	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
33385	5	2	183472	213552	14376	0.161	2.48	0.05	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
33385	5	2	183472	213552	14406	0.616	2.53	0.149	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
33385	5	2	183472	213552	14439	0.1	2.7	0.057	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
33385	5	2	183472	213552	14473	0.172	2.06	0.027	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
33385	5	2	183472	213552	14503	2	8.6	0.18	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
33385	5	2	183472	213552	14536	0.24	3.9	0.088	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
33385	5	2	183472	213552	14567	0.6	2.5	0.082	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
33385	5	2	183472	213552	14586	1.1	1.7	0.095	NA	2008-01-01	2009-12-31	H3260_v1_3	2009	3	3260	1
33385	5	2	183472	213552	14628	0.87	1.6	0.095	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
33385	5	2	183472	213552	14649	0.95	1.7	0.096	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
33385	5	2	183472	213552	14677	1.1	1.7	0.047	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
33385	5	2	183472	213552	14718	0	1.2	0.041	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
33385	5	2	183472	213552	14741	1.9	2.3	0.15	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
33385	5	2	183472	213552	14774	0.16	1.3	0.052	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
33385	5	2	183472	213552	14804	0.37	0.86	0.068	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
33385	5	2	183472	213552	14838	0.34	2.4	0.26	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
33385	5	2	183472	213552	14873	0	1.2	0.034	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
33385	5	2	183472	213552	14896	0.32	1.3	0.049	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
33385	5	2	183472	213552	14936	1.3	4	0.2	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
33385	5	2	183472	213552	14950	0.96	2.2	0.12	NA	2010-01-01	2011-12-31	H3260_v1_4	2010	3	3260	1
33385	5	2	183472	213552	14993	0.72	1.7	0.13	NA	2010-01-01	2011-12-31	H3260_v1_4	2011	3	3260	1
33385	5	2	183472	213552	15020	0.69	1.4	0.13	NA	2010-01-01	2011-12-31	H3260_v1_4	2011	3	3260	1
33385	5	2	183472	213552	15043	0.45	1.3	0.082	NA	2010-01-01	2011-12-31	H3260_v1_4	2011	3	3260	1
33385	5	2	183472	213552	15077	0	0.98	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2011	3	3260	1
33385	5	2	183472	213552	15145	0.14	3.8	0.097	NA	2010-01-01	2011-12-31	H3260_v1_4	2011	3	3260	1
33385	5	2	183472	213552	15173	0.16	1.9	0.16	NA	2010-01-01	2011-12-31	H3260_v1_4	2011	3	3260	1
33385	5	2	183472	213552	15196	0	3.5	0.083	NA	2010-01-01	2011-12-31	H3260_v1_4	2011	3	3260	1
33385	5	2	183472	213552	15236	0.75	3.4	0.063	NA	2010-01-01	2011-12-31	H3260_v1_4	2011	3	3260	1
33385	5	2	183472	213552	15264	0	2	0	NA	2010-01-01	2011-12-31	H3260_v1_4	2011	3	3260	1
33385	5	2	183472	213552	15295	0	2.6	0.03	NA	2010-01-01	2011-12-31	H3260_v1_4	2011	3	3260	1
33385	5	2	183472	213552	15321	1.1	1.4	0.067	NA	2010-01-01	2011-12-31	H3260_v1_4	2011	3	3260	1
33385	5	2	183472	213552	15362	0.45	1.9	0.11	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
33385	5	2	183472	213552	15385	1.9	1.8	0.069	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
33385	5	2	183472	213552	15413	0.3	0.96	0.08	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
33385	5	2	183472	213552	15447	0.14	1.2	0.065	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
33385	5	2	183472	213552	15475	0.21	1	0.066	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
33385	5	2	183472	213552	15504	0.27	2.4	0.061	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
33385	5	2	183472	213552	15538	0.16	1.3	0.1	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
33385	5	2	183472	213552	15572	0.21	2.1	0	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
33385	5	2	183472	213552	15110	2.4	1.1	0.11	NA	2010-01-01	2011-12-31	H3260_v1_4	2011	3	3260	1
33385	5	2	183472	213552	15623	0	1.7	0.044	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
33385	5	2	183472	213552	15665	1.5	5.9	0	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
33385	5	2	183472	213552	15680	1.3	1.8	0.12	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
33385	5	2	183472	213552	15735	0.52	1.92	0.21	NA	2012-01-01	2015-12-31	H3260_v1_5	2013	4	3260	1
33385	5	2	183472	213552	15755	0.88	1.62	0.09	NA	2012-01-01	2015-12-31	H3260_v1_5	2013	4	3260	1
33385	5	2	183472	213552	15784	0.98	1.33	0.114	NA	2012-01-01	2015-12-31	H3260_v1_5	2013	4	3260	1
33385	5	2	183472	213552	15852	0.43	1.34	0.067	NA	2012-01-01	2015-12-31	H3260_v1_5	2013	4	3260	1
33385	5	2	183472	213552	15874	0.33	1.1	0.054	NA	2012-01-01	2015-12-31	H3260_v1_5	2013	4	3260	1
33385	5	2	183472	213552	15910	0.38	1.72	0.076	NA	2012-01-01	2015-12-31	H3260_v1_5	2013	4	3260	1
33385	5	2	183472	213552	15939	0	1.32	0.087	NA	2012-01-01	2015-12-31	H3260_v1_5	2013	4	3260	1
33385	5	2	183472	213552	15966	0.13	1.46	0.071	NA	2012-01-01	2015-12-31	H3260_v1_5	2013	4	3260	1
33385	5	2	183472	213552	15994	0.38	2	0.19	NA	2012-01-01	2015-12-31	H3260_v1_5	2013	4	3260	1
33385	5	2	183472	213552	16030	0.67	2.64	0.18	NA	2012-01-01	2015-12-31	H3260_v1_5	2013	4	3260	1
33385	5	2	183472	213552	16050	0.47	1.39	0.153	NA	2012-01-01	2015-12-31	H3260_v1_5	2013	4	3260	1
33385	5	2	183472	213552	16092	0.45	1.56	0.127	NA	2012-01-01	2015-12-31	H3260_v1_5	2014	4	3260	1
33385	5	2	183472	213552	16113	1.57	2.8	0.108	NA	2012-01-01	2015-12-31	H3260_v1_5	2014	4	3260	1
33385	5	2	183472	213552	16140	0.3	1.64	0.083	NA	2012-01-01	2015-12-31	H3260_v1_5	2014	4	3260	1
33385	5	2	183472	213552	16174	0	0.97	0.027	NA	2012-01-01	2015-12-31	H3260_v1_5	2014	4	3260	1
33385	5	2	183472	213552	16203	1.58	3.1	0.094	NA	2012-01-01	2015-12-31	H3260_v1_5	2014	4	3260	1
33385	5	2	183472	213552	15812	0.34	1.07	0.084	NA	2012-01-01	2015-12-31	H3260_v1_5	2013	4	3260	1
33385	5	2	183472	213552	16259	0.179	2.59	0.027	NA	2012-01-01	2015-12-31	H3260_v1_5	2014	4	3260	1
33385	5	2	183472	213552	16300	0.181	2.08	0.067	NA	2012-01-01	2015-12-31	H3260_v1_5	2014	4	3260	1
33385	5	2	183472	213552	16329	0	0.76	0.029	NA	2012-01-01	2015-12-31	H3260_v1_5	2014	4	3260	1
33385	5	2	183472	213552	16356	1.05	1.32	0.076	NA	2012-01-01	2015-12-31	H3260_v1_5	2014	4	3260	1
33385	5	2	183472	213552	16391	0.55	3.5	0.091	NA	2012-01-01	2015-12-31	H3260_v1_5	2014	4	3260	1
33385	5	2	183472	213552	15601	0	1.5	0.061	NA	2012-01-01	2015-12-31	H3260_v1_5	2012	3	3260	1
33385	5	2	183472	213552	16475	1.1	2	0.073	NA	2012-01-01	2015-12-31	H3260_v1_5	2015	4	3260	1
