loc_code	codeplas	index_0m	index_50m	index_100m	index_150m	index_200m
AN_VRI_001	ANTRAN0277	2.488338192	2.578125	2.597510373	3.795514512	3.610105581
AN_BOG_001	ANTRAV0052	2.39986868	3.197761194	3.393018018	3.850649351	3.918588874
ANTRAV0122	ANTRAV0122	2.355095541	3.911290323	4.098039216	3.5893796	3.674754098
NA	ANTRAV0169	3.098404255	3.509174312	2.915738162	2.263610315	3.54390398
NA	ANTRAV0175	1.997159091	3.364312268	3.796246649	2.994687131	3.652830189
NA	ANTRAV0196	2.061946903	3.336734694	2.270596591	3.547738693	2.555971702
NA	ANTRAV0208	2.072805139	2.698245614	3.865921788	4.131439894	2.614126097
ANTRAV0211	ANTRAV0211	2.299046322	3.360294118	3.498626374	3.726329442	3.630159604
AN_KVD_003	ANTRAV0230	1.729093051	2.832191781	3.748071979	3.608487337	3.954365079
AN_KVD_001	ANTRAV0293	2.751428571	2.467391304	3.913946588	3.239627434	3.633402275
AN_KVD_002	ANTRAV0293	2.751428571	2.467391304	3.913946588	3.239627434	3.633402275
AN_RAV_004	ANTRAV0296	2	3.637362637	2.5	3.160300926	3.238073394
AN_RAV_001	ANTRAV0297	2.703278689	2.109375	4.022284123	3.233804476	3.095930233
AN_RAV_003	ANTRAV0369	2.10797546	2.736051502	4.224557522	3.575774971	3.207403055
AN_TUR_002	ANTRAV0381	2.233801073	2.830708661	3.123110151	3.449944994	3.192043896
AN_TUR_003	ANTRAV0382	2.192736631	4.29109589	3.437602627	3.563975155	3.296629213
NA	ANTRAV0383	2.050480769	3.730337079	2.910755149	3.918465228	3.607669617
AN_GOO_002	ANTRET0186	1.828335832	2.423076923	3.024498886	4.288888889	3.142354125
AN_GOO_001	ANTRET0199	2.230496454	3.952631579	4.044041451	2.819103522	2.660677263
AN_RET_001	ANTRET0236	2.438528558	3.850961538	3.45049505	2.666487648	2.671214642
AN_DVH_009	ANTRIJ0005	2.332323232	2.042553191	3.827294686	3.266581633	3.778814124
AN_DVH_004	ANTRIJ0006	1.403361345	2.158940397	3.458549223	3.663197729	3.928172943
AN_DVH_008	ANTRIJ0030	2.144736842	3.716346154	3.11038961	3.96969697	3.401288811
AN_DVH_005	ANTRIJ0041	2.183615819	2.117857143	3.538251366	3.949090909	4.177970423
AN_DVH_007	ANTRIJ0053	2.025462963	4.225	4.214114833	3.818356868	3.272461651
AN_DVH_003	ANTRIJ0072	2.25	3.093548387	4.163768116	4.117298578	3.809137804
AN_DVH_006	ANTRIJ0076	1.952554745	4.1875	3.07875895	3.753676471	4.214052288
